Participant,Age,Language,Ethnicity,Gender,Evaluation.Type,Condition,Order,Text,Profile Number,Liking,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,MR.Composite
1,21,English,Hispanic,Male,Predicted,Control,,My name is Joseph and I am a twenty one year old administration of justice student. My whole life I have valued morals and being a genuine person. I love football and basketball. Listen to hip/hop and pop music. Like to workout and go out and have fun with friends. At the moment I am currently unemployed. ,1,6,7,7,5,4,4,,4,6,1,4,4,7,1,7,1,5,7,7,1,7,5.7
2,18,English,White,Female,Predicted,Maximize,,"1) I'm studying Cognitive Science at the University of Pennsylvania, with a focus in psycholinguistics 2) I spend an inordinate amount of time browsing Yelp 3) I'm passionate about bananas 4) Nothing gets me hype like popular music from 2008-10 5) Sleep is my #1 hobby",2,4,,,,,,,,,,,,,,,,,,,,,
3,58,English,White,Male,Predicted,Control,,"1) family oriented 2) live a simple, quiet life 3) walk for exercise 4) in a long term relationship5) enjoy the outdoors",3,4,7,7,5,2,6,5,5,5,4,4,6,3,2,5,1,7,6,6,4,7,
4,28,English,White ,Female,Predicted,Control,,I work for an 18 wheeler dealership. I went to college to be a teacher. I like to smoke pot and watch TV. I have a very loving caring boyfriend. I love to read and create things with my hands. ,4,4,3,4,4,5,5,4,6,4,5,3,4,5,4,5,2,5,5,5,4,5,
5,28,English,White,Male,Predicted,Control,,I have an associates degree in Recording Arts. I enjoy the Miami Dolphins football team. I ama white male. I have 2 siblings. I am a musician and producer.,5,4,3,3,3,5,3,3,3,3,5,3,3,3,5,3,5,3,3,3,5,3,
6,23,Vietnamese,Asian,Female,Predicted,Maximize,,1. Vietnamese 2. College graduate 3. Born in Hong 4. From California 5. Have 2 siblings,6,7,6,6,6,3,4,6,6,3,5,3,6,5,4,4,2,6,6,4,2,6,
7,36,English,White,Male,Actual,Maximize,1,,6,4,7,7,7,2,1,2,7,7,1,6,7,7,1,7,1,7,7,7,1,7,
7,36,English,White,Male,Actual,Control,1,,5,2,7,7,7,2,1,2,7,7,1,6,7,7,1,7,1,7,7,7,1,7,
7,36,English,White,Male,Actual,Control,1,,4,1,7,7,7,2,1,2,7,7,1,6,7,7,1,7,1,7,7,7,1,7,
7,36,English,White,Male,Actual,Control,1,,1,5,7,7,7,2,1,2,7,7,1,6,7,7,1,7,1,7,7,7,1,7,
7,36,English,White,Male,Actual,Maximize,1,,2,4,7,7,7,2,1,2,7,7,1,6,7,7,1,7,1,7,7,7,1,7,
7,36,English,White,Male,Actual,Control,1,,3,7,7,7,7,2,1,2,7,7,1,6,7,7,1,7,1,7,7,7,1,7,
8,27,English,White,Male,Actual,Maximize,1,,6,4,6,7,6,3,5,5,6,6,3,6,6,5,6,7,1,5,6,6,3,5,
8,27,English,White,Male,Actual,Control,1,,5,5,6,7,6,3,5,5,6,6,3,6,6,5,6,7,1,5,6,6,3,5,
8,27,English,White,Male,Actual,Control,1,,4,4,6,7,6,3,5,5,6,6,3,6,6,5,6,7,1,5,6,6,3,5,
8,27,English,White,Male,Actual,Control,1,,1,6,6,7,6,3,5,5,6,6,3,6,6,5,6,7,1,5,6,6,3,5,
8,27,English,White,Male,Actual,Maximize,1,,2,2,6,7,6,3,5,5,6,6,3,6,6,5,6,7,1,5,6,6,3,5,
8,27,English,White,Male,Actual,Control,1,,3,4,6,7,6,3,5,5,6,6,3,6,6,5,6,7,1,5,6,6,3,5,
9,35,English,Native,Male,Actual,Control,2,,3,5,3,5,5,4,4,5,4,5,4,3,5,4,5,5,3,5,4,4,3,4,
9,35,English,Native,Male,Actual,Maximize,2,,6,3,3,5,5,4,4,5,4,5,4,3,5,4,5,5,3,5,4,4,3,4,
9,35,English,Native,Male,Actual,Maximize,2,,2,4,3,5,5,4,4,5,4,5,4,3,5,4,5,5,3,5,4,4,3,4,
9,35,English,Native,Male,Actual,Control,2,,4,5,3,5,5,4,4,5,4,5,4,3,5,4,5,5,3,5,4,4,3,4,
9,35,English,Native,Male,Actual,Control,2,,1,4,3,5,5,4,4,5,4,5,4,3,5,4,5,5,3,5,4,4,3,4,
9,35,English,Native,Male,Actual,Control,2,,5,2,3,5,5,4,4,5,4,5,4,3,5,4,5,5,3,5,4,4,3,4,
10,26,English,Hispanic,Male,Actual,Control,2,,3,2,4,2,3,4,4,5,5,1,6,5,4,4,5,4,5,5,1,2,7,1,
10,27,English,Hispanic,Male,Actual,Maximize,2,,6,6,4,2,3,4,4,5,5,1,6,5,4,4,5,4,5,5,1,2,7,1,
10,28,English,Hispanic,Male,Actual,Maximize,2,,2,6,4,2,3,4,4,5,5,1,6,5,4,4,5,4,5,5,1,2,7,1,
10,29,English,Hispanic,Male,Actual,Control,2,,4,4,4,2,3,4,4,5,5,1,6,5,4,4,5,4,5,5,1,2,7,1,
10,30,English,Hispanic,Male,Actual,Control,2,,1,4,4,2,3,4,4,5,5,1,6,5,4,4,5,4,5,5,1,2,7,1,
10,31,English,Hispanic,Male,Actual,Control,2,,5,3,4,2,3,4,4,5,5,1,6,5,4,4,5,4,5,5,1,2,7,1,
